NUMERO_BOLETIM;DATAHORA_BOLETIM;DATA_INCLUSAO;TIPO_ACIDENTE;DESC_TIPO_ACIDENTE;COD_TEMPO;DESC_TEMPO;COD_PAVIMENTO;PAVIMENTO;COD_REGIONAL;DESC_REGIONAL;ORIGEM_BOLETIM;LOCAL_SINALIZADO;VELOCIDADE_PERMITIDA;COORDENADA_X;COORDENADA_Y;HORA_INFORMADA;INDICADOR_FATALIDADE;VALOR_UPS;DESCRIÇÃO_UPS;DATA_ALTERACAO_SMSA;VALOR_UPS_ANTIGA;DESCRIÇÃO_UPS_ANTIGA
2021-007322788-003;12/02/202106:48;12/02/202107:55;H01002;ABALROAMENTOCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;26;VENDANOVA;POLICIAMILITAR;NÃO;0;0000606371.33;0007810164.31;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007323689-001;12/02/202106:51;12/02/202107:32;H09002;COLISAODEVEICULOSCOMVITIMA;4;NUBLADO;1;ASFALTO;23;NORTE;POLICIAMILITAR;NÃO;0;0000608937.63;0007807002.44;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007327906-001;12/02/202107:26;12/02/202108:13;H04000;QUEDADEPESSOADEVEICULO;4;NUBLADO;1;ASFALTO;24;OESTE;POLICIAMILITAR;NÃO;60;0000606295.26;0007796488.84;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007328092-001;12/02/202108:11;12/02/202108:15;H01002;ABALROAMENTOCOMVITIMA;4;NUBLADO;1;ASFALTO;23;NORTE;POLICIAMILITAR;NÃO;0;0000000000.00;0000000000.00;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007334663-001;12/02/202107:59;12/02/202109:07;H01002;ABALROAMENTOCOMVITIMA;2;CHUVA;1;ASFALTO;0;;POLICIAMILITAR;NÃO;0;0000000000.00;0000000000.00;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007338843-001;12/02/202109:30;12/02/202109:32;H08002;CHOQUEMECANICOCOMVITIMA;1;BOM;1;ASFALTO;24;OESTE;POLICIAMILITAR;NÃO;0;0000609950.07;0007802007.66;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007339900-001;12/02/202109:16;12/02/202110:12;H06002;ATROPELAMENTODEPESSOASEMVITIMAFATAL;0;NAOINFORMADO;0;NAOINFORMADO;26;VENDANOVA;POLICIAMILITAR;NÃO;0;0000607364.71;0007811081.32;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007349267-001;12/02/202109:45;12/02/202110:27;H08002;CHOQUEMECANICOCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;19;CENTRO-SUL;POLICIAMILITAR;NÃO;0;0000609829.61;0007797287.22;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007365755-001;12/02/202110:27;12/02/202113:58;H06002;ATROPELAMENTODEPESSOASEMVITIMAFATAL;0;NAOINFORMADO;0;NAOINFORMADO;21;NORDESTE;POLICIAMILITAR;NÃO;0;0000616863.00;0007806726.18;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007371239-001;12/02/202112:24;12/02/202112:46;H01002;ABALROAMENTOCOMVITIMA;4;NUBLADO;1;ASFALTO;25;PAMPULHA;POLICIAMILITAR;NÃO;0;0000604122.05;0007800224.92;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
